opponent,policy,games,wins,losses,ties,win_rate,avg_score,avg_score_delta,avg_balance_delta,bid_decisions,floor_activation_rate,floor_over_cap_rate,avg_opponent_visible_ev,avg_bid_delta
hoarder,base,20,11,9,0,0.55,230.5,6.85,-5.3,2023,0.0,0.0,0.0,0.0
hoarder,uncapped,20,12,8,0,0.6,270.35,79.85,-6.1,1892,0.13742071881606766,0.13742071881606766,3.9117336152219875,0.7727272727272727
hoarder,cap-1,20,10,10,0,0.5,240.9,22.6,8.35,1919,0.10005211047420531,0.10005211047420531,3.3454924439812403,0.10005211047420531
hoarder,cap-2,20,11,9,0,0.55,248.5,25.45,8.45,1944,0.09979423868312758,0.09979423868312758,3.044238683127572,0.18724279835390947
hoarder,cap-4,20,16,4,0,0.8,278.85,94.7,17.8,1789,0.1106763555058692,0.1106763555058692,3.598658468418111,0.34488541084404695
hoarder,cap-8,20,16,4,0,0.8,273.0,92.7,1.0,1942,0.13851699279093718,0.13851699279093718,3.801750772399588,0.6740473738414006
hoarder,cap-12,20,11,9,0,0.55,246.15,29.3,-42.95,1971,0.1430745814307458,0.1430745814307458,4.053272450532725,0.7224759005580923
